2022-07-12 02:48:19 status half-installed libcurl3-gnutls:amd64 7.74.0-1.3+deb11u1
2022-07-12 02:48:19 status unpacked libcurl3-gnutls:amd64 7.74.0-1.3+deb11u1
2022-07-12 02:48:19 install liberror-perl:all <none> 0.17029-1
2022-07-12 02:48:19 status half-installed liberror-perl:all 0.17029-1
2022-07-12 02:48:19 status unpacked liberror-perl:all 0.17029-1
2022-07-12 02:48:19 install git-man:all <none> 1:2.30.2-1
2022-07-12 02:48:19 status half-installed git-man:all 1:2.30.2-1
2022-07-12 02:48:19 status unpacked git-man:all 1:2.30.2-1
2022-07-12 02:48:19 install git:amd64 <none> 1:2.30.2-1
2022-07-12 02:48:19 status half-installed git:amd64 1:2.30.2-1
2022-07-12 02:48:20 status unpacked git:amd64 1:2.30.2-1
2022-07-12 02:48:20 install libapr1:amd64 <none> 1.7.0-6+deb11u1
2022-07-12 02:48:20 status half-installed libapr1:amd64 1.7.0-6+deb11u1
2022-07-12 02:48:20 status unpacked libapr1:amd64 1.7.0-6+deb11u1
2022-07-12 02:48:20 install libaprutil1:amd64 <none> 1.6.1-5
2022-07-12 02:48:20 status half-installed libaprutil1:amd64 1.6.1-5
2022-07-12 02:48:20 status unpacked libaprutil1:amd64 1.6.1-5
